0:0:0:0:0:0:0:1 - - [15/Dec/2024:15:15:36 +0100] "POST /TW_Esame_File/servlet1 HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [15/Dec/2024:15:15:43 +0100] "POST /TW_Esame_File/login HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [15/Dec/2024:15:56:07 +0100] "GET /TW_Esame_File/ HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [15/Dec/2024:15:56:18 +0100] "POST /TW_Esame_File/login HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [15/Dec/2024:15:56:18 +0100] "GET /TW_Esame_File/scripts/split.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:15:56:19 +0100] "POST /TW_Esame_File/servlet1 HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [15/Dec/2024:15:56:25 +0100] "GET /TW_Esame_File/ HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [15/Dec/2024:15:56:30 +0100] "POST /TW_Esame_File/login HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [15/Dec/2024:15:56:32 +0100] "POST /TW_Esame_File/servlet1 HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [15/Dec/2024:15:56:40 +0100] "GET /TW_Esame_File/ HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [15/Dec/2024:15:56:45 +0100] "POST /TW_Esame_File/login HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [15/Dec/2024:15:57:02 +0100] "GET /TW_Esame_File/ HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [15/Dec/2024:15:57:09 +0100] "POST /TW_Esame_File/login HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:33:28 +0100] "GET /TW_Matrici HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:33:28 +0100] "GET /TW_Matrici/ HTTP/1.1" 200 1964
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:33:28 +0100] "GET /TW_Matrici/styles/default.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:33:28 +0100] "GET /TW_Matrici/scripts/utils.js HTTP/1.1" 200 3610
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:33:28 +0100] "GET /TW_Matrici/scripts/websocket.js HTTP/1.1" 404 404
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:33:28 +0100] "GET /TW_Matrici/scripts/split.js HTTP/1.1" 404 404
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:33:48 +0100] "GET /TW_Matrici/ HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:33:56 +0100] "GET /TW_Matrici/ HTTP/1.1" 403 660
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:33:58 +0100] "GET /TW_Matrici/ HTTP/1.1" 403 660
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:34:05 +0100] "GET /TW_Matrici/ HTTP/1.1" 200 1964
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:34:05 +0100] "GET /TW_Matrici/scripts/split.js HTTP/1.1" 404 404
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:34:05 +0100] "GET /TW_Matrici/scripts/websocket.js HTTP/1.1" 404 404
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:56:44 +0100] "GET /TW_Matrici/ HTTP/1.1" 200 1911
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:56:45 +0100] "GET /TW_Matrici/scripts/websocket.js HTTP/1.1" 404 404
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:56:45 +0100] "GET /TW_Matrici/scripts/wsocket_2.js HTTP/1.1" 200 3500
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:56:45 +0100] "GET /TW_Matrici/actions2 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:57:40 +0100] "GET /TW_Matrici/ HTTP/1.1" 200 1911
